ジャイロセンサ角速度, 走行距離, フロア検知ステータス　
76,0.000000,0
76,0.000000,0
77,0.000000,0
78,0.000000,0
77,0.000000,0
77,0.000000,0
74,0.000000,0
62,0.353429,0
44,0.706858,0
38,0.706858,0
25,1.413717,0
5,2.120575,0
-3,2.120575,0
3,3.180862,0
-1,3.534292,0
-3,4.594579,0
-3,5.301437,0
-1,6.361724,0
0,7.068583,0
-1,8.128870,0
-7,9.189157,0
-12,10.249445,0
-20,11.309732,0
-21,12.370020,0
-26,13.783736,0
-35,14.844024,0
-43,15.904311,0
-54,17.318027,0
-59,18.731745,0
-59,19.792032,0
-61,21.205750,0
-58,22.619467,0
-59,24.033184,0
-57,25.446901,0
-52,26.860619,0
-45,28.274336,0
-48,29.688053,0
-47,31.101770,0
-46,32.515488,0
-49,33.929203,0
-49,34.989491,0
-60,36.756638,0
-68,38.170353,0
-70,39.584068,0
-75,40.997784,0
-84,42.411499,0
-91,43.825214,0
-87,45.238930,0
-80,46.652645,0
-80,48.066360,0
-85,49.126648,0
-80,50.540363,0
-52,51.247223,0
-43,52.307510,0
-38,53.367798,0
-34,54.074657,0
-26,54.781517,0
-21,55.134945,0
-2,56.195232,0
0,56.548660,0
2,56.902088,0
16,57.608948,0
30,57.962376,0
34,58.315804,0
42,58.315804,0
32,59.022663,0
40,59.376091,0
46,59.729519,0
43,59.729519,0
36,60.436378,0
32,60.789806,0
26,60.789806,0
29,61.496666,0
31,62.203526,0
24,62.203526,0
24,62.556953,0
30,63.263813,0
28,63.617241,0
13,63.970669,0
7,64.324097,0
4,65.030952,0
-15,65.384384,0
-12,66.091240,0
-11,66.444672,0
-29,66.444672,0
-26,67.151527,0
-22,67.858383,0
-25,67.858383,0
-6,68.565239,0
0,68.918671,0
1,69.272102,0
13,69.272102,0
11,69.272102,0
12,69.625534,0
20,69.625534,0
20,69.625534,0
21,69.625534,0
24,69.978966,0
24,70.332397,0
31,70.332397,0
32,70.332397,0
30,70.685829,0
30,70.685829,0
27,70.685829,0
26,70.685829,0
22,70.685829,0
19,71.392685,0
12,71.392685,0
12,71.746117,0
12,72.099548,0
6,72.099548,0
-2,72.452980,0
-9,72.452980,0
-12,73.159836,0
-17,73.159836,0
-13,73.159836,0
-15,73.513268,0
-14,73.866699,0
1,73.866699,0
7,73.866699,0
12,73.866699,0
19,73.866699,0
29,73.866699,0
30,73.866699,0
25,73.866699,0
24,73.866699,0
21,73.866699,0
18,73.866699,0
17,73.866699,0
17,73.866699,0
17,73.866699,0
17,74.220131,0
14,74.220131,0
15,74.220131,0
15,74.220131,0
10,74.220131,0
9,74.220131,0
6,74.220131,0
3,74.573563,0
1,74.573563,0
-2,74.926994,0
-2,74.926994,0
-2,74.926994,0
-2,74.926994,0
3,75.280426,0
4,75.280426,0
9,75.280426,0
14,75.280426,0
17,75.280426,0
18,75.280426,0
18,75.280426,0
16,75.280426,0
13,75.280426,0
10,75.280426,0
7,75.280426,0
9,75.280426,0
10,75.280426,0
5,75.280426,0
5,75.280426,0
7,75.280426,0
9,75.280426,0
9,75.280426,0
9,75.280426,0
10,75.280426,0
14,75.280426,0
13,75.280426,0
11,75.280426,0
12,75.280426,0
12,75.280426,0
12,75.280426,0
10,75.280426,0
8,75.280426,0
10,75.280426,0
9,75.280426,0
9,75.280426,0
11,75.280426,0
13,75.280426,0
13,75.280426,0
12,75.280426,0
12,75.280426,0
12,75.280426,0
11,75.280426,0
11,75.280426,0
13,75.280426,0
14,75.280426,0
14,75.280426,0
13,75.280426,0
13,75.280426,0
14,75.280426,0
13,75.633858,0
12,75.633858,0
14,75.633858,0
14,75.633858,0
12,75.633858,0
9,75.633858,0
3,75.633858,0
3,75.987289,0
0,76.340721,0
0,76.340721,0
-3,76.340721,0
-3,77.047577,0
-2,77.047577,0
-4,77.047577,0
-4,77.047577,0
-5,77.754433,0
-4,77.754433,0
-5,78.461288,0
-8,78.461288,0
-8,78.461288,0
-10,79.168144,0
-11,79.521576,0
-13,79.875008,0
-16,79.875008,0
-17,80.228439,0
-17,80.581871,0
-16,81.288727,0
-18,81.288727,0
-18,81.642159,0
-14,81.995590,0
-12,82.702446,0
-8,82.702446,0
-7,82.702446,0
-3,82.702446,0
3,83.055878,0
8,83.055878,0
11,83.055878,0
15,83.409309,0
20,83.762741,0
21,83.762741,0
23,83.762741,0
23,83.762741,0
21,83.762741,0
19,83.762741,0
18,84.116173,0
15,84.116173,0
12,84.116173,0
11,84.469604,0
10,84.469604,0
10,84.469604,0
10,84.823036,0
10,84.823036,0
13,84.823036,0
13,84.823036,0
13,85.176468,0
11,85.529900,0
10,85.529900,0
8,86.236755,0
6,86.236755,0
