ジャイロセンサ角速度, 走行距離, フロア検知ステータス　
-9,207.462936,0
-6,208.876648,0
-15,209.583511,0
-19,210.997223,0
-14,212.410934,0
-15,213.471222,0
-14,214.884933,0
-17,215.945221,0
-11,217.358932,0
-6,218.419220,0
-8,219.479507,0
-7,220.893219,0
-8,222.306931,0
-9,223.013794,0
-9,224.427505,0
-9,225.487793,0
-12,226.901505,0
-15,228.315216,0
-7,229.375504,0
-11,230.435791,0
-12,231.849503,0
-12,232.556366,0
-6,233.970078,0
-5,235.383789,0
-6,236.797501,0
-2,237.857788,0
-6,238.918076,0
6,240.331787,0
-1,241.392075,0
4,242.452362,0
3,243.866074,0
-6,245.279785,0
-10,246.693497,0
-12,247.753784,0
-12,249.167496,0
-17,250.581207,0
-18,251.994919,0
-15,252.701782,0
-6,254.115494,0
-8,255.529205,0
-13,256.942932,0
-8,258.003235,0
2,259.416962,0
-1,260.830688,0
-9,262.244415,0
-7,263.658142,0
-3,265.071869,0
-2,266.132141,0
-10,267.899292,0
-22,269.313019,0
-18,270.726746,0
-12,271.787048,0
-17,273.200775,0
-31,274.614502,0
-23,276.028229,0
-16,277.795380,0
-26,279.209106,0
-27,280.622833,0
-27,282.036560,0
-12,283.450287,0
-11,284.864014,0
-29,286.277740,0
-15,287.691467,0
-11,289.105194,0
-15,290.518921,0
-23,291.932648,0
-11,292.992920,0
-2,294.406647,0
-14,295.820374,0
-22,297.234100,0
-15,298.647827,0
-5,300.061554,0
-16,301.475281,0
-21,302.889008,0
-16,304.302734,0
-8,305.716461,0
-14,307.130188,0
-21,308.543915,0
-12,309.957642,0
-4,311.371368,0
-10,312.431641,0
-19,313.845367,0
-6,315.259094,0
-1,316.672821,0
-11,318.086548,0
-12,319.500275,0
-16,320.914001,0
-13,322.327728,0
-15,323.741455,0
-24,325.155182,0
-20,326.568909,0
-17,327.982635,0
-17,329.396362,0
-19,330.810089,0
-19,332.223816,0
-7,333.637543,0
-11,334.697815,0
-11,336.111542,0
-6,337.525269,0
-5,338.585571,0
-4,339.999298,0
-5,341.059570,0
-3,342.473297,0
1,343.533569,0
1,344.947296,0
-8,346.361023,0
-7,347.774750,0
-4,349.188477,0
-9,350.248779,0
-7,351.662506,0
-13,353.076233,0
1,354.136536,0
0,355.550262,0
7,356.610535,0
4,357.670837,0
3,359.084564,0
4,360.498291,0
2,361.912018,0
-1,363.325745,0
-9,364.386047,0
-9,365.446350,0
-12,366.860077,0
-11,368.273804,0
-20,369.687531,0
-13,370.747803,0
-17,371.808105,0
-12,373.221832,0
-10,374.635559,0
-6,376.049286,0
-3,377.463013,0
-2,378.523315,0
5,379.937042,0
-2,380.997314,0
7,382.411041,0
6,383.471313,0
-8,384.885040,0
-11,385.945312,0
-8,387.359039,0
-16,388.772766,0
-17,390.186493,0
-16,391.600220,0
-16,393.013947,0
-11,394.074219,0
-9,395.487946,0
-5,396.901672,0
-10,397.961975,0
3,399.022278,0
4,400.436005,0
-7,401.849731,0
-5,402.910034,0
0,404.323761,0
-3,405.737488,0
-8,407.151215,0
-4,408.564941,0
-13,409.625244,0
-18,411.038971,0
-15,412.452698,0
-18,413.866425,0
-20,414.926697,0
-15,415.987000,0
-16,417.400726,0
-15,418.814453,0
-9,420.228180,0
-5,421.288452,0
-6,422.702179,0
1,424.115906,0
-2,425.529633,0
-6,426.943359,0
-4,428.003662,0
-6,429.417389,0
-14,430.831116,0
-14,431.891418,0
-13,433.305145,0
-18,434.365417,0
-23,435.779144,0
-24,437.192871,0
-15,438.253174,0
-13,439.666901,0
-9,441.080627,0
-15,442.494354,0
-4,443.908081,0
-4,444.968384,0
-4,446.382111,0
-6,447.442383,0
-11,448.856110,0
-9,449.916382,0
-17,450.976685,0
-17,452.390411,0
-17,453.804138,0
-14,455.217865,0
-9,456.631592,0
-5,458.045319,0
-5,459.105591,0
-7,460.165894,0
-9,461.226196,0
-6,462.639923,0
-9,463.700195,0
-12,465.113922,0
-11,466.174194,0
-12,467.587921,0
-13,469.001648,0
-12,470.061951,0
-13,471.475677,0
-10,472.535950,0
-8,473.949677,0
-10,475.009949,0
