ジャイロセンサ角速度, 走行距離, フロア検知ステータス　
63,0.000000,0
63,0.000000,0
67,0.000000,0
72,0.000000,0
75,0.000000,0
71,0.000000,0
69,0.000000,0
58,0.000000,0
46,0.353429,0
33,0.706858,0
19,1.413717,0
11,1.413717,0
-7,2.120575,0
-15,2.827433,0
-9,3.180862,0
-6,4.241150,0
3,4.948008,0
5,5.654866,0
7,6.715154,0
7,7.422012,0
-6,8.482300,0
-8,9.896016,0
-21,10.602875,0
-27,12.016591,0
-33,13.076879,0
-44,14.137166,0
-54,15.550882,0
-62,16.964600,0
-73,18.378317,0
-71,19.438604,0
-73,20.498892,0
-68,21.559179,0
-52,22.619467,0
-44,24.033184,0
-37,25.446901,0
-32,26.860619,0
-25,27.920906,0
-22,28.981194,0
-19,30.041481,0
-21,31.101768,0
-27,32.515484,0
-33,33.929199,0
-41,34.989487,0
-48,36.403202,0
-55,37.816917,0
-64,38.877205,0
-69,39.937492,0
-66,41.351208,0
-68,42.411495,0
-64,43.825211,0
-61,45.238926,0
-62,46.299213,0
-49,47.359501,0
-48,48.419788,0
-43,49.480076,0
-35,50.540363,0
-29,51.600651,0
-28,52.307510,0
-18,53.721226,0
-13,54.428085,0
-12,55.134945,0
-12,56.195232,0
-7,56.548660,0
-10,57.962376,0
-9,58.669235,0
-11,59.376095,0
-21,60.082954,0
-13,60.789814,0
-12,61.496674,0
-19,62.203533,0
-13,62.556961,0
-15,63.617249,0
-10,63.970676,0
-3,64.677536,0
-3,65.030968,0
0,65.384399,0
9,66.091255,0
19,66.091255,0
16,66.444687,0
24,66.798119,0
27,67.151550,0
28,67.504982,0
33,67.504982,0
29,68.211838,0
26,68.565269,0
21,68.565269,0
15,68.918701,0
8,69.625557,0
7,69.625557,0
4,69.978989,0
3,70.332420,0
2,70.332420,0
-5,71.039276,0
2,71.039276,0
7,71.039276,0
19,71.392708,0
19,71.392708,0
21,71.746140,0
27,71.746140,0
29,71.746140,0
29,71.746140,0
27,71.746140,0
33,72.099571,0
29,72.099571,0
22,72.099571,0
21,72.099571,0
16,72.453003,0
