反射光センサー, ジャイロセンサ角速度,P,D,走行距離　
27,100,-33,-33,46.652653
27,100,-32,-32,47.006081
27,100,-29,-29,47.006081
27,100,-31,-31,47.359509
27,100,-24,-24,48.066368
28,100,-26,-26,48.066368
28,100,-27,-39,48.066368
28,100,-27,-27,48.773228
28,100,-26,-26,49.126656
28,100,-34,-34,49.126656
28,100,-30,-30,49.833515
30,100,-32,-32,50.186943
29,100,-27,-53,50.186943
29,100,-43,-33,50.893803
29,100,-41,-42,50.893803
29,100,-40,-41,51.247231
31,100,-46,-47,51.247231
31,100,-22,-50,51.954090
31,100,-37,-40,51.954090
31,100,-26,-30,52.660950
31,100,-29,-33,52.660950
32,100,-28,-32,52.660950
32,100,-22,-39,52.660950
33,100,-23,-28,53.014378
32,100,-13,-31,53.367805
32,100,-25,-19,53.721233
33,100,-18,-23,54.074661
33,100,-19,-38,54.074661
33,100,-24,-30,54.428089
33,100,-26,-32,54.781517
33,100,-31,-37,54.781517
33,100,-24,-30,55.488377
33,100,-28,-35,55.488377
33,100,-27,-33,55.841805
32,100,-28,-34,56.195232
32,100,-33,-27,56.548660
32,100,-26,-31,56.902088
32,100,-31,-36,56.902088
32,100,-25,-30,57.608948
32,100,-25,-30,57.962376
32,100,-20,-25,58.669235
32,100,-20,-25,59.022663
32,100,-27,-32,59.022663
32,100,-27,-32,59.376091
32,100,-19,-24,60.082951
32,100,-21,-26,60.436378
32,100,-25,-30,60.789806
31,100,-28,-33,61.143234
31,100,-30,-23,61.850094
31,100,-24,-28,62.556953
31,100,-33,-37,62.556953
31,100,-35,-39,62.910381
29,100,-31,-35,63.617241
29,100,-38,-17,64.324097
29,100,-27,-29,64.677528
29,100,-37,-39,64.677528
29,100,-29,-31,65.737816
29,100,-32,-35,66.091248
28,100,-37,-39,66.444679
28,100,-38,-28,67.151535
28,100,-30,-31,67.858391
28,100,-35,-36,68.211823
28,100,-32,-33,68.565254
28,100,-29,-30,69.272110
28,100,-32,-33,69.625542
28,100,-28,-29,70.332397
28,100,-32,-34,70.685829
28,100,-35,-36,71.039261
28,100,-30,-31,71.746117
27,100,-35,-36,72.099548
27,100,-41,-30,72.806404
27,100,-39,-39,73.159836
27,100,-42,-42,73.513268
26,100,-29,-29,74.573555
25,100,-43,-30,74.573555
26,100,-34,-34,75.280411
26,100,-31,-31,75.987267
26,100,-38,-38,75.987267
25,100,-33,-33,76.694122
25,100,-28,-28,77.400978
25,100,-34,-34,77.754410
25,100,-33,-33,78.461266
25,100,-34,-34,78.814697
25,100,-37,-37,79.168129
25,100,-35,-35,79.874985
25,100,-42,-42,79.874985
25,100,-40,-40,80.581841
24,100,-40,-40,80.935272
24,100,-48,-36,81.288704
24,100,-37,-37,81.995560
24,100,-38,-38,82.348991
25,100,-39,-39,82.702423
24,100,-28,-39,83.409279
24,100,-39,-26,83.762711
24,100,-32,-32,84.116142
24,100,-36,-36,84.116142
24,100,-29,-29,84.822998
24,100,-32,-32,84.822998
24,100,-24,-24,85.529854
24,100,-21,-21,85.883286
25,100,-27,-27,85.883286
25,100,-20,-32,86.236717
25,100,-18,-18,86.943573
25,100,-24,-24,86.943573
25,100,-21,-21,87.650429
25,100,-20,-20,88.003860
26,100,-25,-25,88.003860
27,100,-18,-18,88.710716
27,100,-12,-25,89.064148
28,100,-20,-20,89.417580
28,100,-14,-28,89.771011
28,100,-20,-21,90.124443
28,100,-14,-15,90.831299
29,100,-17,-19,91.184731
29,100,-12,-27,91.538162
29,100,-20,-22,91.891594
30,100,-16,-18,92.598450
30,100,-7,-23,93.305305
30,100,-20,-24,93.658737
31,100,-23,-27,94.012169
31,100,-3,-20,95.072456
31,100,-20,-23,95.072456
31,100,-11,-16,96.132744
31,100,-14,-19,96.486176
31,100,-15,-20,96.839607
32,100,-5,-10,97.899895
32,100,-5,-23,98.253326
32,100,-16,-21,98.960182
32,100,-15,-20,99.667038
32,100,-16,-21,100.373894
33,100,-17,-22,101.080750
33,100,-9,-28,101.787605
33,100,-15,-22,102.494461
33,100,-13,-19,103.201317
33,100,-8,-14,104.261604
33,100,-13,-20,104.615036
33,100,-13,-19,105.675323
33,100,-15,-21,106.382179
33,100,-13,-20,107.442467
33,100,-21,-27,107.795898
33,100,-10,-17,109.209618
33,100,-22,-28,109.563049
33,100,-15,-21,110.623337
33,100,-20,-26,111.330193
33,100,-19,-25,112.037048
33,100,-20,-26,113.097336
33,100,-23,-30,113.804192
32,100,-18,-24,114.864479
32,100,-22,-17,115.924767
32,100,-17,-24,116.631622
32,100,-22,-28,117.338478
32,100,-22,-28,118.398766
32,100,-24,-30,119.105621
31,100,-27,-33,119.812477
31,100,-23,-17,121.226196
31,100,-29,-34,121.579628
30,100,-17,-22,122.993347
30,100,-30,-23,123.700203
30,100,-19,-23,124.760490
30,100,-24,-27,125.467346
30,100,-30,-34,126.174202
30,100,-13,-17,127.587921
30,100,-27,-30,127.941353
29,100,-24,-28,129.001648
29,100,-28,-19,130.061935
29,100,-27,-30,130.768799
29,100,-32,-35,131.475662
29,100,-26,-29,132.535950
28,100,-30,-33,133.242813
28,100,-44,-35,133.949677
28,100,-23,-26,135.363388
28,100,-33,-35,135.716812
28,100,-29,-32,136.777100
28,100,-25,-27,137.837387
27,100,-27,-30,138.544250
27,100,-30,-20,139.251114
27,100,-21,-23,140.311401
27,100,-24,-25,141.018265
27,100,-25,-26,141.725128
26,100,-21,-22,142.785416
26,100,-38,-26,143.138840
26,100,-25,-25,144.552551
26,100,-33,-33,144.905975
26,100,-32,-32,145.966263
26,100,-32,-32,146.673126
26,100,-33,-33,147.379990
25,100,-31,-31,148.440277
25,100,-32,-32,149.147141
25,100,-30,-30,149.854004
25,100,-27,-27,150.560867
25,100,-26,-26,151.267731
25,100,-23,-23,151.974594
25,100,-22,-22,152.681458
25,100,-21,-21,153.741745
25,100,-28,-28,154.095169
25,100,-24,-24,155.155457
25,100,-19,-19,156.215744
25,100,-26,-26,156.569168
24,100,-21,-21,157.629456
24,100,-34,-21,157.982880
24,100,-24,-24,159.043167
24,100,-26,-26,159.750031
24,100,-22,-22,160.810318
24,100,-31,-31,161.163742
24,100,-24,-24,162.224030
24,100,-21,-21,162.930893
24,100,-19,-19,163.637756
24,100,-21,-21,164.344620
24,100,-25,-25,165.051483
24,100,-18,-18,166.111771
24,100,-23,-23,166.465195
24,100,-8,-8,167.878906
24,100,-27,-27,167.878906
24,100,-16,-16,169.292618
24,100,-16,-16,169.999481
24,100,-21,-21,170.706345
23,100,-25,-25,171.413208
23,100,-33,-21,172.120071
23,100,-16,-16,173.533783
23,100,-18,-17,174.240646
23,100,-19,-17,174.947510
23,100,-21,-20,175.654373
23,100,-24,-23,176.361237
23,100,-12,-10,177.774948
23,100,-18,-16,178.128372
23,100,-12,-11,179.188660
23,100,-16,-15,179.895523
22,100,-18,-17,180.602386
22,100,-21,-7,181.662674
22,100,-18,-17,182.369537
22,100,-16,-15,183.429825
23,100,-17,-16,184.490112
22,100,-12,-22,185.196976
22,100,-21,-8,186.257263
22,100,-15,-13,187.317551
22,100,-19,-18,188.024414
22,100,-25,-24,188.731277
22,100,-13,-12,190.144989
22,100,-14,-13,190.851852
22,100,-19,-18,191.558716
22,100,-17,-16,192.619003
22,100,-10,-9,194.032715
22,100,-15,-14,194.739578
22,100,-17,-16,195.446442
22,100,-10,-9,196.860153
22,100,-15,-14,197.567017
22,100,-18,-17,198.273880
22,100,-11,-10,199.687592
22,100,-17,-16,200.394455
22,100,-18,-17,201.454742
22,100,-15,-14,202.515030
22,100,-15,-13,203.575317
22,100,-22,-19,204.282181
22,100,-12,-9,205.695892
22,100,-21,-18,206.402756
22,100,-12,-9,207.463043
22,100,-11,-9,208.523331
22,100,-13,-10,209.583618
22,100,-19,-16,210.290482
22,100,-11,-9,211.704193
21,100,-20,-17,212.411057
21,100,-21,-6,213.471344
21,100,-20,-18,214.531631
21,100,-27,-25,215.591919
21,100,-24,-21,216.298782
22,100,-18,-16,217.712494
22,100,-16,-25,218.419357
22,100,-18,-16,219.479645
22,100,-13,-11,220.893356
22,100,-14,-11,221.600220
22,100,-17,-14,222.307083
22,100,-13,-10,223.720795
22,100,-5,-2,225.134506
22,100,-13,-10,225.841370
23,100,-18,-16,226.548233
23,100,-5,-15,227.961945
23,100,-14,-13,229.022232
23,100,-16,-14,229.729095
24,100,-16,-15,230.789383
23,100,-8,-20,231.849670
23,100,-19,-5,232.909958
23,100,-12,-11,233.970245
24,100,-6,-5,235.383957
24,100,-11,-23,236.090820
25,100,-18,-18,237.151108
25,100,-6,-18,238.564819
25,100,-18,-18,239.271683
25,100,-13,-13,240.331970
25,100,-16,-16,241.392258
25,100,-14,-14,242.805969
25,100,-14,-14,243.512833
25,100,-15,-15,244.573120
25,100,-5,-5,245.633408
25,100,-4,-4,247.047119
25,100,-17,-17,247.753983
25,100,-10,-10,248.814270
25,100,-13,-13,249.874557
25,100,-7,-7,251.288269
25,100,-11,-11,251.995132
25,100,-8,-8,253.408844
25,100,-23,-23,254.115707
26,100,-18,-18,255.529419
27,100,-17,-17,256.589722
27,100,-9,-21,257.650024
26,100,-23,-23,258.356873
26,100,-25,-14,259.770599
26,100,-13,-13,261.184326
26,100,-14,-14,261.891174
26,100,-6,-6,263.304901
26,100,-13,-13,264.011749
26,100,-12,-12,265.425476
27,100,-8,-8,266.485779
28,100,0,-12,267.546082
28,100,0,-13,268.252930
28,100,-4,-5,269.666656
28,100,-5,-6,271.080383
28,100,-3,-4,272.140686
28,100,-6,-7,273.200989
28,100,-15,-16,273.907837
29,100,-15,-17,275.321564
28,100,-12,-27,276.735291
28,100,-19,-9,278.149017
28,100,-16,-17,278.855865
28,100,-11,-12,280.269592
28,100,-24,-25,280.976440
28,100,-11,-12,282.390167
28,100,-2,-3,283.803894
29,100,-7,-8,284.510742
29,100,5,-10,285.924469
29,100,-17,-20,286.631317
29,100,-6,-8,288.045044
28,100,-3,-6,289.458771
30,100,-9,1,290.872498
30,100,7,-21,291.932800
30,100,-26,-29,292.639648
30,100,-19,-23,294.053375
30,100,-14,-17,295.113647
30,100,-11,-15,296.527374
29,100,-13,-17,297.587646
29,100,-25,-16,298.647949
29,100,-8,-10,300.061676
29,100,-4,-7,301.121948
29,100,-5,-7,302.182251
29,100,-6,-8,303.242554
29,100,-8,-11,304.302856
29,100,-12,-15,305.716583
29,100,0,-2,307.130310
29,100,-4,-7,308.190613
28,100,-15,-17,308.897461
28,100,-18,-9,310.311188
28,100,-11,-14,311.724915
28,100,-16,-18,312.431763
28,100,-11,-14,313.845490
28,100,-10,-13,314.905762
28,100,-9,-12,316.319489
28,100,-4,-6,317.379761
28,100,-8,-10,318.440063
28,100,-14,-17,319.146912
28,100,-7,-9,320.560638
29,100,-8,-11,321.974365
29,100,6,-9,323.388092
29,100,-16,-18,324.094940
28,100,-17,-19,325.155212
28,100,-14,-5,326.568939
28,100,-9,-12,327.629211
28,100,-4,-7,329.042938
28,100,-10,-13,330.103210
28,100,-8,-10,331.163513
27,100,-8,-11,332.223816
27,100,-9,1,333.637543
27,100,-11,-12,334.344391
27,100,-13,-15,335.758118
27,100,-8,-9,336.818420
27,100,-2,-4,338.232147
26,100,-5,-7,339.292419
26,100,-15,-3,340.352722
26,100,-22,-22,341.413025
26,100,-13,-13,342.473328
25,100,-6,-6,343.887054
25,100,-1,-1,345.300781
25,100,-6,-6,346.361084
25,100,-10,-10,347.067932
25,100,-1,-1,348.481659
25,100,6,6,349.541931
25,100,0,0,350.955658
25,100,-11,-11,352.015930
25,100,-13,-13,353.076233
25,100,-16,-16,354.489960
25,100,-21,-21,355.550232
25,100,-10,-10,356.963959
24,100,-22,-22,358.024231
24,100,-30,-17,359.084534
24,100,-13,-13,360.144836
24,100,-4,-4,361.558563
23,100,-5,-5,362.972290
23,100,-11,2,363.679138
23,100,-8,-7,364.739441
23,100,-4,-2,365.799744
23,100,1,2,367.213470
23,100,-5,-3,368.627197
23,100,-18,-16,369.334045
23,100,-12,-11,370.747772
22,100,-15,-13,371.808044
22,100,-23,-10,372.868347
22,100,-24,-23,374.282074
22,100,-19,-18,375.695801
22,100,-10,-9,376.756104
22,100,-15,-14,377.462952
22,100,-11,-9,378.876678
22,100,-20,-19,379.936951
20,100,-1,0,381.350677
19,100,-16,13,382.410950
19,100,-5,13,383.824677
19,100,-16,-11,384.531525
20,100,-22,-17,385.945251
19,100,-13,-21,387.005554
19,100,-22,-4,388.419281
19,100,-18,-13,389.479553
19,100,-26,-21,390.539856
19,100,-41,-36,391.600159
19,100,-24,-19,393.013885
19,100,-15,-10,394.074158
19,100,-15,-10,395.134460
18,100,-18,-13,396.194763
18,100,-20,-1,397.255066
18,100,-5,1,398.668793
18,100,-2,4,399.375641
18,100,-1,5,400.789368
18,100,-12,-6,401.849670
18,100,-13,-7,402.909973
18,100,-16,-10,403.970276
18,100,-15,-9,405.030579
18,100,-21,-15,406.090881
18,100,-22,-16,407.504608
18,100,-25,-19,408.564880
18,100,-17,-11,409.978607
17,100,-20,-14,410.685455
17,100,-15,5,412.099182
17,100,-9,-2,413.159485
17,100,-7,0,414.219788
17,100,-6,2,415.280090
17,100,-10,-3,416.340393
16,100,-8,-1,417.754120
16,100,-28,-6,418.460968
16,100,-19,-10,419.874695
16,100,-22,-13,420.934998
16,100,-17,-8,422.348724
16,100,-23,-15,423.408997
16,100,-27,-18,424.469299
16,100,-23,-14,425.883026
16,100,-25,-17,426.589874
15,100,-14,-6,428.003601
16,100,-17,6,429.417328
16,100,-13,-16,430.477600
16,100,-16,-7,431.537903
16,100,-15,-7,432.598206
16,100,-4,5,434.011932
16,100,-19,-11,434.718781
16,100,-22,-13,435.779053
16,100,-17,-9,437.192780
16,100,-10,-2,438.606506
16,100,-12,-3,439.666809
16,100,-16,-8,441.080536
16,100,-31,-22,441.787384
16,100,-23,-14,443.201111
16,100,-23,-14,444.261414
16,100,-25,-16,445.321716
16,100,-29,-20,446.382019
16,100,-23,-14,447.795746
16,100,-20,-11,448.856018
17,100,-9,0,450.269745
17,100,-7,-10,451.330017
17,100,-16,-7,452.390320
17,100,-16,-7,453.450623
17,100,-20,-11,454.157471
17,100,-15,-6,455.571198
17,100,-19,-10,456.631470
17,100,-15,-6,458.045197
17,100,-17,-8,459.105469
18,100,-13,-5,460.519196
18,100,-12,-16,461.579468
18,100,-23,-16,462.639771
18,100,-24,-17,463.700073
18,100,-17,-9,465.113800
18,100,-27,-19,465.820648
19,100,-30,-23,466.880920
19,100,-16,-21,468.294647
19,100,-18,-12,469.354919
20,100,-20,-14,470.415222
20,100,-17,-24,471.475525
20,100,-27,-22,472.535828
20,100,-13,-8,473.949554
20,100,-19,-13,474.656403
20,100,-14,-7,476.070129
20,100,-18,-12,477.130432
20,100,-17,-11,478.190735
22,100,-15,-9,479.251038
24,100,2,-18,480.311340
23,100,-9,-31,481.018188
23,100,-19,-4,482.431915
23,100,-4,-2,483.845642
23,100,-5,-2,484.905945
23,100,-16,-14,485.612793
24,100,-14,-12,487.026520
25,100,-20,-30,487.733368
25,100,-13,-23,488.793640
25,100,-15,-13,490.207367
26,100,-14,-13,491.621094
26,100,-24,-23,492.327942
26,100,-24,-23,493.388245
26,100,-16,-15,494.448547
26,100,-17,-15,495.508850
27,100,-14,-13,496.922577
28,100,-6,-18,497.629425
28,100,-12,-24,498.689697
28,100,-19,-19,499.750000
29,100,-2,-2,501.163727
29,100,-9,-23,501.870575
29,100,-12,-13,503.284302
30,100,-17,-18,503.991150
30,100,-12,-27,505.051453
30,100,-11,-13,506.465179
30,100,-14,-17,507.525452
31,100,-23,-26,508.232300
31,100,-17,-32,509.292603
31,100,-16,-19,510.706329
32,100,-18,-21,511.766602
32,100,-17,-34,512.473450
32,100,-19,-23,513.533752
32,100,-13,-16,514.947449
33,100,-10,-14,516.007751
33,100,-7,-24,516.714600
33,100,-8,-13,518.128296
33,100,-13,-18,518.835144
33,100,-6,-11,520.248840
35,100,-12,-17,520.955688
35,100,12,-20,522.369385
35,100,-9,-17,523.076233
35,100,-10,-18,524.136536
36,100,-6,-13,525.550232
36,100,-1,-22,526.610535
36,100,-14,-23,527.317383
36,100,-12,-20,528.377686
36,100,-9,-18,529.791382
36,100,-15,-24,530.851685
37,100,-20,-29,531.558533
37,100,-2,-25,532.972229
37,100,-10,-20,533.679077
37,100,-8,-18,534.739380
37,100,-4,-14,536.153076
37,100,-5,-15,537.566772
37,100,-8,-18,538.273621
37,100,-5,-15,539.333923
37,100,-10,-20,540.394226
37,100,-12,-22,541.454529
38,100,-15,-25,542.514832
38,100,-5,-28,543.575134
38,100,-8,-20,544.635437
38,100,-11,-22,545.695740
38,100,-13,-24,546.756042
37,100,-14,-26,547.816345
37,100,-17,-16,548.876648
37,100,-1,-11,550.290344
36,100,-8,-18,551.350647
36,100,-19,-16,552.057495
36,100,-5,-14,553.471191
36,100,-10,-19,554.178040
36,100,-8,-17,555.238342
36,100,-2,-11,556.652039
35,100,-6,-14,557.712341
35,100,-2,0,558.772644
35,100,-3,-11,559.832947
35,100,-14,-22,560.893250
35,100,-8,-16,561.953552
35,100,-10,-19,563.013855
34,100,0,-9,564.074158
34,100,-10,-6,565.134460
34,100,-8,-15,566.548157
34,100,-10,-18,567.608459
34,100,-5,-13,568.315308
34,100,3,-4,569.729004
33,100,-15,-23,570.435852
32,100,-17,-12,571.496155
32,100,-11,-6,572.909851
32,100,-2,-9,573.970154
32,100,-4,-10,575.030457
32,100,-20,-26,576.090759
32,100,-13,-19,577.504456
32,100,-8,-14,578.564758
32,100,-13,-19,579.271606
31,100,-10,-17,580.685303
29,100,-22,-16,581.745605
29,100,-31,-10,582.805908
29,100,-8,-11,583.866211
29,100,1,-2,585.279907
29,100,-17,-19,585.986755
29,100,-10,-13,587.047058
27,100,-7,-10,588.460754
26,100,-16,6,589.521057
26,100,-20,-9,590.227905
27,100,-14,-14,591.641602
25,100,-9,-23,592.701904
25,100,-23,-12,593.762207
25,100,-16,-16,594.822510
25,100,-16,-16,596.236206
25,100,-16,-16,597.296509
25,100,-17,-17,598.356812
25,100,-15,-15,599.063660
23,100,-9,-9,600.477356
23,100,-23,3,601.537659
23,100,-4,-2,602.597961
22,100,-5,-4,603.658264
22,100,-8,7,604.718567
22,100,-4,-2,605.778870
22,100,-15,-13,606.839172
22,100,-12,-10,607.899475
22,100,-3,0,609.313171
20,100,-22,-20,610.020020
21,100,-38,-10,611.080322
21,100,-12,-21,612.494019
21,100,-13,-11,613.554321
20,100,-6,-4,614.614624
20,100,-24,-8,615.321472
20,100,-11,-7,616.735168
19,100,4,8,618.148865
19,100,-12,5,618.855713
19,100,-10,-5,619.562561
19,100,-5,0,620.976257
19,100,-3,2,622.389954
19,100,-12,-7,623.096802
19,100,-18,-13,624.157104
19,100,-22,-17,625.217407
19,100,-15,-10,626.631104
18,100,-19,-14,627.691406
16,100,-28,-9,628.751709
16,100,-28,5,629.812012
15,100,-20,-11,630.872314
15,100,-17,4,631.932617
15,100,-1,8,633.346313
14,100,-19,-11,634.053162
14,100,-17,6,635.466858
14,100,-18,-8,636.173706
14,100,-15,-5,637.587402
13,100,-15,-5,638.647705
13,100,-31,-7,639.708008
13,100,-29,-18,640.768311
13,100,-31,-20,641.828613
13,100,-26,-14,642.888916
13,100,-26,-15,643.949219
13,100,-20,-9,645.362915
12,100,-24,-13,646.069763
12,100,-27,-2,647.130066
12,100,-12,1,648.190369
12,100,-10,2,649.250671
12,100,-18,-6,650.310974
11,100,-10,2,651.724670
11,100,-25,2,652.431519
11,100,-17,-3,653.491821
11,100,-10,4,654.905518
11,100,-20,-6,655.612366
11,100,-25,-11,657.026062
11,100,-27,-14,657.732910
10,100,-20,-6,659.146606
10,100,-29,-2,660.206909
10,100,-30,-15,660.913757
10,100,-25,-10,662.327454
10,100,-27,-12,663.387756
10,100,-16,-1,664.448059
9,100,-15,0,665.508362
9,100,-14,15,666.922058
9,100,-16,0,667.628906
9,100,-17,-1,668.689209
9,100,-14,2,669.749512
9,100,-17,-1,670.809814
9,100,-25,-9,671.870117
9,100,-26,-10,672.930420
9,100,-34,-17,673.637268
9,100,-35,-19,674.697571
9,100,-23,-5,676.111267
9,100,-26,-8,677.171570
9,100,-22,-5,678.231873
8,100,-21,-4,678.938721
8,100,-15,15,680.352417
