反射光センサー, ジャイロ角度, ジャイロセンサ角速度,ターン,P,モータ角位置
1,0,13,15,0,771
1,0,1,0,0,774
1,0,18,0,0,778
1,0,7,0,0,781
1,0,6,0,0,784
1,0,2,0,0,788
1,0,0,0,0,791
1,0,7,0,0,794
1,0,-4,0,0,798
1,0,3,0,0,801
1,0,-3,0,0,804
0,0,1,-15,0,808
1,0,-1,15,0,811
1,0,-13,0,0,814
1,0,0,0,0,818
1,0,-20,0,0,821
1,0,-3,0,0,824
1,0,-18,0,0,828
1,0,-14,0,0,831
1,0,-17,0,0,835
1,0,-17,0,0,838
1,0,-13,0,0,842
1,0,-22,0,0,845
1,0,-18,0,0,848
1,0,-23,0,0,852
1,0,-16,0,0,855
1,0,-21,0,0,858
1,0,-19,0,0,862
1,0,-17,0,0,865
1,0,-17,0,0,868
1,0,-19,0,0,872
1,0,-20,0,0,875
1,0,-18,0,0,878
1,0,-12,0,0,882
1,0,-17,0,0,885
1,0,-14,0,0,888
1,0,-17,0,0,892
1,0,-22,0,0,895
1,0,-11,0,0,898
1,0,-19,0,0,902
1,0,-10,0,0,905
1,0,-15,0,0,908
1,0,-8,0,0,912
1,0,-16,0,0,915
1,0,-17,0,0,918
1,0,-2,0,0,922
1,0,-27,0,0,925
1,0,-4,0,0,928
1,0,-12,0,0,932
1,0,-7,0,0,935
1,0,-6,0,0,938
0,0,-6,-15,0,942
0,0,-1,0,0,945
0,0,-15,0,0,948
0,0,-6,0,0,952
1,0,-6,15,0,955
1,0,-5,0,0,958
0,0,-10,-15,0,962
0,0,0,0,0,965
1,0,1,15,0,968
0,0,-14,-15,0,972
0,0,-12,0,0,975
0,0,-15,0,0,978
0,0,3,0,0,982
0,0,-10,0,0,985
0,0,-12,0,0,989
0,0,-2,0,0,992
0,0,-11,0,0,995
0,0,0,0,0,998
0,0,2,0,0,1002
0,0,1,0,0,1006
0,0,4,0,0,1009
0,0,8,0,0,1012
0,0,1,0,0,1016
0,0,16,0,0,1019
0,0,18,0,0,1022
0,0,20,0,0,1026
0,0,17,0,0,1029
0,0,21,0,0,1032
0,0,23,0,0,1036
0,0,22,0,0,1039
0,0,35,0,0,1042
0,0,27,0,0,1046
0,0,33,0,0,1049
0,0,18,0,0,1052
0,0,32,0,0,1056
0,0,30,0,0,1059
0,0,33,0,0,1062
0,0,34,0,0,1066
0,0,29,0,0,1069
0,0,29,0,0,1072
0,0,20,0,0,1076
