反射光センサー, ジャイロセンサ角速度,P,D,走行距離　
36,13,6,0,40.290916
36,12,6,0,40.290916
37,-3,7,10,40.290916
37,13,7,0,39.584057
37,8,7,0,39.230629
36,-9,6,-10,39.230629
37,4,7,10,38.877201
37,4,7,0,38.523773
37,-2,7,0,37.816914
37,9,7,0,37.816914
36,23,6,-10,37.463486
35,17,5,-10,36.756626
36,31,6,10,36.403198
35,51,5,-10,36.049770
35,53,5,0,35.342911
35,67,5,0,34.989483
35,72,5,0,34.636055
35,75,5,0,33.929195
34,72,4,-10,33.222336
33,66,4,-10,32.868908
33,55,4,0,32.868908
33,37,4,0,32.515480
32,33,3,-10,32.162052
32,24,3,0,32.162052
32,13,3,0,31.455194
32,4,3,0,31.455194
31,-4,2,-10,31.455194
32,-13,3,10,31.455194
32,-14,3,0,31.455194
32,-21,3,0,31.455194
32,-20,3,0,31.455194
32,-2,3,0,31.455194
32,3,3,0,31.101765
32,5,3,0,31.101765
32,12,3,0,30.748335
32,16,3,0,30.748335
32,22,3,0,30.748335
32,20,3,0,30.394905
32,21,3,0,30.394905
32,20,3,0,30.041475
32,14,3,0,30.041475
31,13,2,-10,30.041475
31,9,2,0,30.041475
31,3,2,0,30.041475
31,-7,2,0,30.041475
30,3,1,-10,30.041475
30,-4,1,0,30.041475
30,-8,1,0,30.041475
31,1,2,10,30.041475
31,3,2,0,30.041475
31,7,2,0,30.041475
31,11,2,0,30.041475
31,5,2,0,30.041475
32,1,3,10,30.041475
32,9,3,0,30.041475
32,1,3,0,30.041475
32,1,3,0,30.041475
31,3,2,-10,30.041475
31,5,2,0,30.041475
32,11,3,10,30.041475
31,9,2,-10,30.041475
31,6,2,0,30.041475
32,9,3,10,30.041475
31,6,2,-10,30.041475
31,9,2,0,30.041475
32,4,3,10,30.041475
32,8,3,0,30.041475
32,10,3,0,30.041475
31,9,2,-10,30.041475
32,9,3,10,30.041475
32,6,3,0,30.041475
32,11,3,0,30.041475
32,13,3,0,30.041475
32,6,3,0,30.041475
32,9,3,0,30.041475
32,13,3,0,30.041475
32,8,3,0,30.041475
32,10,3,0,30.041475
32,14,3,0,30.041475
32,15,3,0,30.041475
32,8,3,0,30.041475
32,15,3,0,30.041475
32,11,3,0,30.041475
32,13,3,0,30.041475
32,12,3,0,30.041475
33,13,4,10,30.041475
32,15,3,-10,30.041475
33,14,4,10,30.041475
33,14,4,0,30.041475
33,14,4,0,30.041475
32,15,3,-10,30.041475
33,14,4,10,30.041475
33,15,4,0,30.041475
33,14,4,0,30.041475
34,15,4,10,30.041475
34,17,4,0,30.041475
34,16,4,0,30.041475
34,17,4,0,30.041475
33,17,4,-10,30.041475
34,16,4,10,30.041475
34,18,4,0,30.041475
34,20,4,0,30.041475
34,18,4,0,30.041475
34,19,4,0,30.041475
34,19,4,0,30.041475
34,20,4,0,30.041475
34,19,4,0,30.041475
34,22,4,0,30.041475
35,21,5,10,30.041475
35,22,5,0,30.041475
35,23,5,0,30.041475
35,24,5,0,30.041475
35,24,5,0,30.394905
35,25,5,0,30.394905
36,24,6,10,30.394905
36,24,6,0,30.394905
36,28,6,0,30.748335
36,26,6,0,31.101765
36,27,6,0,31.101765
36,28,6,0,31.101765
37,28,7,10,31.808622
37,30,7,0,31.808622
37,31,7,0,32.162052
38,29,8,10,32.162052
38,30,8,0,32.515480
38,31,8,0,33.222340
37,31,7,-10,33.575768
38,33,8,10,33.929195
38,42,8,0,34.282623
38,25,8,0,34.989483
38,15,8,0,35.696342
38,-5,8,0,36.403202
38,-13,8,0,37.110062
38,-12,8,0,37.463490
38,-25,8,0,38.523777
41,-57,10,30,39.230637
41,-55,10,0,40.290924
41,-52,10,0,40.644352
41,-74,10,0,41.704639
41,-74,10,0,42.058067
41,-58,10,0,43.118355
41,-59,10,0,43.825214
41,-50,10,0,44.178642
43,-22,12,20,44.532070
44,-20,12,10,45.238930
44,-4,12,0,45.592358
43,16,12,-10,45.945786
44,22,12,10,46.652645
44,33,12,0,47.006073
44,47,12,0,47.006073
45,51,13,10,47.359501
45,40,13,0,47.712929
45,43,13,0,48.066357
45,43,13,0,48.419785
45,26,13,0,48.419785
45,21,13,0,48.773212
45,22,13,0,49.126640
46,6,14,10,49.480068
46,-1,14,0,49.833496
45,5,13,-10,50.186924
45,3,13,0,50.540352
45,0,13,0,50.893780
45,2,13,0,51.247208
45,2,13,0,51.600636
45,8,13,0,51.954063
45,15,13,0,52.660923
45,19,13,0,52.660923
45,26,13,0,53.014351
45,27,13,0,53.367779
45,33,13,0,53.721207
45,32,13,0,54.074635
45,28,13,0,54.428062
45,26,13,0,54.781490
45,21,13,0,55.488350
44,15,12,-10,55.488350
44,8,12,0,56.548637
45,3,13,10,56.902065
