反射光センサー, ジャイロセンサ角速度,P,D,走行距離　,,,
0,12,-24,0,288.398285,,,
0,16,-24,0,290.51886,,,
0,10,-24,0,292.286011,,,
0,12,-24,0,294.406586,,,
0,14,-24,0,296.527161,,,
0,13,-24,0,298.294312,,,
0,16,-24,0,300.414886,,,
0,16,-24,0,302.182037,,,
0,14,-24,0,304.302612,,,
0,16,-24,0,306.423187,,,
0,18,-24,0,308.190338,,,
0,17,-24,0,310.310913,,,
0,13,-24,0,312.078064,,,
0,17,-24,0,314.198639,,,
0,15,-24,0,316.319214,,,
0,12,-24,0,318.086365,,,
0,16,-24,0,320.20694,,,
0,10,-24,0,321.974091,,,
0,10,-24,0,324.094666,,,
0,11,-24,0,326.21524,,,
0,14,-24,0,327.982391,,,
0,10,-24,0,330.102966,,,
0,6,-24,0,331.870117,,,
0,7,-24,0,333.990692,,,
0,13,-24,0,336.111267,,,
0,7,-24,0,337.524994,,,
0,4,-24,0,339.998993,,,
0,8,-24,0,341.766144,,,
0,8,-24,0,343.533295,,,
0,15,-24,0,346.007294,,,
0,15,-24,0,347.774445,,,
0,9,-24,0,349.89502,,,
0,11,-24,0,351.66217,,,
0,15,-24,0,353.429321,,,
0,12,-24,0,355.549896,,,
0,13,-24,0,357.670471,,,
0,17,-24,0,359.791046,,,
0,15,-24,0,361.558197,,,
0,16,-24,0,363.325348,,,
0,14,-24,0,365.445923,,,
0,9,-24,0,367.566498,,,
0,17,-24,0,369.333649,,,
0,20,-24,0,371.1008,,,
0,9,-24,0,373.221375,,,
0,13,-24,0,375.341949,,,
0,16,-24,0,377.462524,,,
0,20,-24,0,379.229675,,,
0,15,-24,0,380.996826,,,
0,18,-24,0,383.117401,,,
0,22,-24,0,384.884552,,,
0,14,-24,0,387.005127,,,
0,19,-24,0,389.125702,,,
0,21,-24,0,390.892853,,,
0,18,-24,0,393.013428,,,
0,17,-24,0,394.780579,,,
0,19,-24,0,396.901154,,,
0,17,-24,0,399.021729,,,
0,18,-24,0,400.435455,,,
0,13,-24,0,402.55603,,,
0,13,-24,0,404.676605,,,
0,15,-24,0,406.79718,,,
0,14,-24,0,408.917755,,,
0,11,-24,0,410.331482,,,
0,7,-24,0,412.805481,,,
0,4,-24,0,414.572632,,,
0,6,-24,0,416.339783,,,
0,3,-24,0,418.460358,,,
0,2,-24,0,420.227509,,,
0,0,-24,0,422.348083,,,
0,1,-24,0,424.468658,,,
0,3,-24,0,426.235809,,,
0,3,-24,0,428.356384,,,
0,4,-24,0,430.476959,,,
0,6,-24,0,432.24411,,,
0,2,-24,0,434.011261,,,
0,5,-24,0,436.131836,,,
0,7,-24,0,438.252411,,,
0,4,-24,0,440.019562,,,
0,5,-24,0,442.140137,,,
0,2,-24,0,443.907288,,,
0,6,-24,0,446.027863,,,
0,5,-24,0,447.795013,,,
0,0,-24,0,449.562164,,,
0,2,-24,0,452.036163,,,
0,1,-24,0,453.803314,,,
0,-2,-24,0,455.923889,,,
0,-4,-24,0,457.69104,,,
0,-1,-24,0,459.458191,,,
0,-5,-24,0,461.93219,,,
0,2,-24,0,463.345917,,,
0,0,-24,0,465.466492,,,
0,1,-24,0,467.587067,,,
0,1,-24,0,469.354218,,,
0,1,-24,0,471.474792,,,
0,8,-24,0,473.241943,,,
0,10,-24,0,475.362518,,,
0,5,-24,0,477.483093,,,
0,9,-24,0,478.89682,,,
0,12,-24,0,481.017395,,,
0,8,-24,0,483.13797,,,
0,15,-24,0,485.258545,,,
0,13,-24,0,487.37912,,,
0,12,-24,0,488.792847,,,
0,18,-24,0,490.913422,,,
0,14,-24,0,493.033997,,,
0,11,-24,0,494.801147,,,
0,15,-24,0,496.921722,,,
0,15,-24,0,498.688873,,,
0,15,-24,0,500.456024,,,
0,16,-24,0,502.930023,,,
0,13,-24,0,504.34375,,,
0,15,-24,0,506.464325,,,
0,17,-24,0,508.5849,,,
0,17,-24,0,510.352051,,,
0,17,-24,0,512.472656,,,
0,18,-24,0,514.239807,,,
0,18,-24,0,516.006958,,,
0,20,-24,0,518.480957,,,
0,21,-24,0,520.248108,,,
