反射光センサー, ジャイロセンサ角速度,P,D,走行距離　,,,
0,100,-148,-148,-244.572983,,,
0,100,-148,-148,-247.400421,,,
0,100,-148,-148,-248.814133,,,
0,100,-148,-148,-251.288132,,,
0,100,-148,-148,-253.055283,,,
0,100,-148,-148,-255.175858,,,
0,100,-148,-148,-257.296448,,,
0,100,-148,-148,-259.417023,,,
0,100,-148,-148,-261.537598,,,
0,100,-148,-148,-263.658173,,,
0,100,-148,-148,-265.778748,,,
0,100,-148,-148,-267.899323,,,
0,100,-148,-148,-270.019897,,,
0,100,-148,-148,-272.140472,,,
0,100,-148,-148,-274.261047,,,
0,100,-148,-148,-276.381622,,,
0,100,-148,-148,-278.502197,,,
0,100,-148,-148,-280.622772,,,
0,100,-148,-148,-282.743347,,,
0,100,-148,-148,-284.863922,,,
0,100,-148,-148,-286.984497,,,
0,100,-148,-148,-288.751648,,,
0,100,-148,-148,-291.225647,,,
0,100,-148,-148,-292.992798,,,
0,100,-148,-148,-295.466797,,,
0,100,-148,-148,-297.233948,,,
0,100,-148,-148,-299.707947,,,
0,100,-148,-148,-301.475098,,,
0,100,-148,-148,-303.595673,,,
0,100,-148,-148,-305.716248,,,
0,100,-148,-148,-307.836823,,,
0,100,-148,-148,-309.957397,,,
0,100,-148,-148,-312.077972,,,
0,100,-148,-148,-314.198547,,,
0,100,-148,-148,-316.319122,,,
0,100,-148,-148,-318.439697,,,
0,100,-148,-148,-320.560272,,,
0,100,-148,-148,-322.680847,,,
0,100,-148,-148,-324.801422,,,
0,100,-148,-148,-326.921997,,,
0,100,-148,-148,-329.042572,,,
0,100,-148,-148,-331.163147,,,
0,100,-148,-148,-333.283722,,,
0,100,-148,-148,-335.404297,,,
0,100,-148,-148,-337.171448,,,
0,100,-148,-148,-339.645447,,,
0,100,-148,-148,-341.412598,,,
0,100,-148,-148,-343.886597,,,
0,100,-148,-148,-345.653748,,,
0,100,-148,-148,-348.127747,,,
0,100,-148,-148,-349.894897,,,
0,100,-148,-148,-352.015472,,,
0,100,-148,-148,-354.136047,,,
0,100,-148,-148,-356.256622,,,
0,100,-148,-148,-358.377197,,,
0,100,-148,-148,-360.497772,,,
0,100,-148,-148,-362.618347,,,
0,100,-148,-148,-364.738922,,,
0,100,-148,-148,-366.859497,,,
0,100,-148,-148,-368.980072,,,
0,100,-148,-148,-371.100647,,,
0,100,-148,-148,-373.221222,,,
0,100,-148,-148,-375.341797,,,
0,100,-148,-148,-377.108948,,,
0,100,-148,-148,-379.582947,,,
0,100,-148,-148,-381.350098,,,
0,100,-148,-148,-383.824097,,,
0,100,-148,-148,-385.591248,,,
0,100,-148,-148,-388.065247,,,
0,100,-148,-148,-389.478973,,,
0,100,-148,-148,-391.952972,,,
0,100,-148,-148,-393.720123,,,
0,100,-148,-148,-396.194122,,,
0,100,-148,-148,-397.961273,,,
0,100,-148,-148,-400.435272,,,
0,100,-148,-148,-402.202423,,,
0,100,-148,-148,-404.322998,,,
0,100,-148,-148,-406.443573,,,
0,100,-148,-148,-408.564148,,,
0,100,-148,-148,-410.684723,,,
0,100,-148,-148,-412.805298,,,
0,100,-148,-148,-414.925873,,,
0,100,-148,-148,-416.693024,,,
0,100,-148,-148,-419.167023,,,
0,100,-148,-148,-420.934174,,,
0,100,-148,-148,-423.408173,,,
0,100,-148,-148,-425.175323,,,
0,100,-148,-148,-427.295898,,,
0,100,-148,-148,-429.416473,,,
0,100,-148,-148,-431.537048,,,
0,100,-148,-148,-433.657623,,,
0,100,-148,-148,-435.778198,,,
0,100,-148,-148,-437.545349,,,
0,100,-148,-148,-440.019348,,,
0,100,-148,-148,-441.786499,,,
0,100,-148,-148,-443.907074,,,
0,100,-148,-148,-446.027649,,,
0,100,-148,-148,-448.148224,,,
0,100,-148,-148,-450.268799,,,
0,100,-148,-148,-452.389374,,,
0,100,-148,-148,-454.509949,,,
0,100,-148,-148,-456.2771,,,
0,100,-148,-148,-458.751099,,,
0,100,-148,-148,-460.51825,,,
0,100,-148,-148,-462.638824,,,
0,100,-148,-148,-464.759399,,,
0,100,-148,-148,-466.879974,,,
0,100,-148,-148,-469.000549,,,
0,100,-148,-148,-471.121124,,,
0,100,-148,-148,-473.241699,,,
0,100,-148,-148,-475.362274,,,
0,100,-148,-148,-477.482849,,,
0,100,-148,-148,-479.603424,,,
